date,CN_search,AF_search,AL_search,DZ_search,AD_search,AO_search,AG_search,AR_search,AM_search,AU_search,AT_search,AZ_search,BS_search,BH_search,BD_search,BB_search,BY_search,BE_search,BZ_search,BJ_search,BT_search,BO_search,BA_search,BW_search,BR_search,BN_search,BG_search,BF_search,MM_search,BI_search,CV_search,KH_search,CM_search,CA_search,CF_search,TD_search,CL_search,CO_search,CG_search,CD_search,CR_search,CI_search,HR_search,CU_search,CY_search,CZ_search,DK_search,DJ_search,DM_search,DO_search,EC_search,EG_search,SV_search,GQ_search,ER_search,EE_search,SZ_search,ET_search,FJ_search,FI_search,FR_search,GA_search,GM_search,GE_search,DE_search,GH_search,GR_search,GD_search,GT_search,GN_search,GW_search,GY_search,HT_search,VA_search,HN_search,HU_search,IS_search,IN_search,ID_search,IR_search,IQ_search,IE_search,IL_search,IT_search,JM_search,JP_search,JO_search,KZ_search,KE_search,KR_search,XK_search,KW_search,KG_search,LA_search,LV_search,LB_search,LR_search,LY_search,LI_search,LT_search,LU_search,MG_search,MW_search,MY_search,MV_search,ML_search,MT_search,MR_search,MU_search,MX_search,MD_search,MC_search,MN_search,ME_search,MA_search,MZ_search,NA_search,NP_search,NL_search,NZ_search,NI_search,NE_search,NG_search,MK_search,NO_search,OM_search,PK_search,PA_search,PG_search,PY_search,PE_search,PH_search,PL_search,PT_search,QA_search,RO_search,RU_search,RW_search,KN_search,LC_search,VC_search,SM_search,ST_search,SA_search,SN_search,RS_search,SC_search,SL_search,SG_search,SK_search,SI_search,SO_search,ZA_search,SS_search,ES_search,LK_search,SD_search,SR_search,SE_search,CH_search,SY_search,TW_search,TZ_search,TH_search,TL_search,TG_search,TT_search,TN_search,TR_search,US_search,UG_search,UA_search,AE_search,GB_search,UY_search,UZ_search,VE_search,VN_search,PS_search,EH_search,YE_search,ZM_search,ZW_search,KM_search,TJ_search,LS_search
2020-01-26,100.0,3.0,6.0,2.0,5.0,2.0,,7.0,,17,18.0,5.0,9.0,8.0,5.0,5.0,9.0,10.0,18.0,3.0,,7,,9.0,7,37.0,7.0,3,15.0,,0.0,40.0,5,23.0,,,8.0,9.0,,3.0,5.0,,20.0,4.0,9.0,21.0,10.0,,,5,7,8.0,9,12.0,,11.0,6.0,,18,16.0,8.0,6.0,,17.0,10,3.0,8.0,,7.0,10.0,,3.0,5,,3,18.0,,2.0,23,3.0,10.0,6.0,9,4.0,9.0,13.0,8,1,6,24.0,8.0,5,,,15.0,12,2.0,0.0,,12.0,,7.0,,44.0,23.0,2.0,12.0,,11,7,13,,100.0,3.0,6.0,7.0,14.0,8,16.0,14,5.0,,4.0,14.0,17.0,3,,6.0,,8,3.0,30,9.0,9.0,7.0,6.0,6.0,7.0,,0.0,,,,3,3,,,,30.0,22.0,9.0,4.0,6,0.0,3.0,23.0,17.0,4.0,22.0,10.0,,21.0,3.0,13,,4.0,14.0,3,14.0,10.0,1,11.0,8.0,6.0,5.0,6.0,7.0,9,10.0,0,0.0,6.0,9.0,,,
2020-01-27,73.0,3.0,9.0,2.0,5.0,2.0,,6.0,,19,12.0,6.0,11.0,8.0,5.0,12.0,12.0,8.0,28.0,7.0,,6,,9.0,7,37.0,6.0,2,18.0,,4.0,61.0,6,22.0,,,7.0,10.0,,3.0,5.0,,14.0,4.0,11.0,30.0,15.0,,,5,21,6.0,9,12.0,,20.0,0.0,,6,20.0,8.0,3.0,,10.0,11,4.0,8.0,,5.0,3.0,,8.0,5,,5,24.0,,4.0,21,4.0,8.0,7.0,6,4.0,9.0,16.0,9,3,5,43.0,7.0,4,,,14.0,11,6.0,11.0,,10.0,,9.0,,41.0,17.0,2.0,5.0,,15,5,8,,69.0,0.0,5.0,6.0,3.0,7,17.0,20,5.0,,5.0,8.0,16.0,3,,6.0,,7,8.0,35,11.0,5.0,5.0,8.0,9.0,7.0,,0.0,,,,3,3,,,,32.0,18.0,6.0,1.0,5,0.0,3.0,32.0,11.0,10.0,25.0,12.0,,15.0,3.0,11,,5.0,6.0,2,18.0,11.0,3,11.0,9.0,6.0,4.0,10.0,5.0,8,16.0,0,0.0,3.0,10.0,,,
2020-01-28,71.0,3.0,9.0,2.0,9.0,10.0,,9.0,,22,13.0,8.0,9.0,6.0,5.0,23.0,14.0,9.0,33.0,4.0,,13,,16.0,14,49.0,9.0,3,18.0,,17.0,71.0,7,25.0,,,10.0,10.0,,3.0,6.0,,19.0,5.0,11.0,27.0,27.0,,,6,17,4.0,10,12.0,,15.0,6.0,,10,19.0,7.0,7.0,,10.0,24,7.0,9.0,,6.0,3.0,,8.0,7,,4,30.0,,6.0,14,4.0,7.0,9.0,9,7.0,46.0,21.0,8,3,15,50.0,9.0,5,,,21.0,10,11.0,4.0,,11.0,,13.0,,39.0,17.0,7.0,14.0,,15,6,13,,57.0,15.0,4.0,6.0,10.0,6,26.0,21,3.0,,5.0,14.0,18.0,4,,7.0,,22,15.0,30,20.0,7.0,5.0,7.0,10.0,8.0,,0.0,,,,3,8,,,,50.0,16.0,13.0,1.0,8,5.0,5.0,41.0,7.0,12.0,19.0,10.0,,19.0,5.0,13,,2.0,12.0,4,18.0,11.0,3,12.0,11.0,7.0,6.0,9.0,8.0,7,10.0,0,0.0,10.0,7.0,,,
2020-01-29,60.0,10.0,11.0,2.0,16.0,27.0,,9.0,,20,10.0,4.0,8.0,12.0,5.0,16.0,14.0,8.0,5.0,4.0,,13,,16.0,18,37.0,11.0,3,24.0,,9.0,35.0,7,22.0,,,11.0,10.0,,6.0,8.0,,20.0,3.0,9.0,17.0,20.0,,,6,16,4.0,14,0.0,,30.0,6.0,,19,46.0,7.0,3.0,,17.0,19,7.0,10.0,,7.0,8.0,,5.0,5,,8,40.0,,6.0,10,6.0,14.0,7.0,9,7.0,17.0,21.0,8,2,11,43.0,5.0,7,,,16.0,16,10.0,11.0,,10.0,,11.0,,35.0,15.0,5.0,10.0,,17,8,9,,56.0,6.0,6.0,21.0,13.0,6,19.0,19,8.0,,5.0,12.0,31.0,6,,9.0,,25,8.0,29,22.0,7.0,8.0,6.0,9.0,7.0,,0.0,,,,4,5,,,,44.0,17.0,10.0,1.0,11,4.0,5.0,29.0,16.0,8.0,20.0,7.0,,22.0,5.0,11,,3.0,11.0,6,19.0,11.0,5,11.0,32.0,8.0,10.0,9.0,7.0,7,9.0,12,0.0,12.0,10.0,,,
2020-01-30,53.0,14.0,13.0,3.0,14.0,24.0,,15.0,,21,10.0,6.0,24.0,12.0,5.0,14.0,4.0,9.0,5.0,3.0,,16,,31.0,16,66.0,11.0,1,11.0,,13.0,35.0,7,22.0,,,10.0,9.0,,8.0,9.0,,21.0,8.0,16.0,21.0,17.0,,,7,18,6.0,15,17.0,,39.0,10.0,,13,31.0,8.0,3.0,,17.0,18,5.0,12.0,,9.0,3.0,,10.0,10,,10,35.0,,8.0,9,8.0,9.0,13.0,12,15.0,13.0,22.0,8,2,7,39.0,14.0,9,,,27.0,12,6.0,11.0,,15.0,,9.0,,33.0,42.0,2.0,14.0,,13,10,7,,41.0,14.0,5.0,27.0,14.0,7,18.0,19,10.0,,8.0,9.0,24.0,6,,12.0,,9,9.0,62,17.0,10.0,10.0,6.0,10.0,8.0,,0.0,,,,4,6,,,,44.0,15.0,11.0,1.0,12,19.0,7.0,19.0,28.0,12.0,23.0,9.0,,26.0,5.0,12,,3.0,18.0,5,28.0,11.0,5,12.0,25.0,11.0,8.0,10.0,7.0,6,1.0,0,0.0,4.0,7.0,,,
2020-01-31,51.0,16.0,19.0,3.0,5.0,16.0,,16.0,,19,11.0,14.0,15.0,14.0,6.0,16.0,23.0,9.0,18.0,8.0,,17,,43.0,13,38.0,17.0,2,25.0,,30.0,39.0,9,19.0,,,9.0,10.0,,6.0,13.0,,25.0,6.0,25.0,18.0,14.0,,,9,16,8.0,36,12.0,,38.0,6.0,,12,25.0,8.0,10.0,,23.0,17,6.0,14.0,,13.0,7.0,,18.0,6,,9,31.0,,8.0,9,14.0,19.0,13.0,14,22.0,13.0,22.0,6,3,7,53.0,10.0,7,,,29.0,17,12.0,4.0,,17.0,,11.0,,34.0,62.0,6.0,22.0,,17,12,9,,43.0,3.0,6.0,16.0,14.0,10,17.0,26,9.0,,8.0,16.0,27.0,6,,19.0,,7,10.0,47,19.0,13.0,8.0,7.0,15.0,13.0,,0.0,,,,4,4,,,,43.0,28.0,17.0,4.0,13,5.0,8.0,16.0,11.0,17.0,39.0,9.0,,29.0,9.0,12,,2.0,23.0,6,25.0,11.0,3,15.0,19.0,17.0,10.0,17.0,9.0,11,9.0,0,12.0,17.0,20.0,,,
2020-02-01,47.0,12.0,12.0,3.0,9.0,8.0,,11.0,,16,10.0,5.0,12.0,6.0,4.0,14.0,11.0,6.0,10.0,5.0,,12,,40.0,8,30.0,7.0,3,25.0,,13.0,26.0,4,13.0,,,9.0,8.0,,4.0,9.0,,27.0,8.0,16.0,13.0,14.0,,,8,14,6.0,17,12.0,,17.0,6.0,,12,23.0,6.0,14.0,,17.0,12,4.0,13.0,,14.0,5.0,,22.0,9,,7,22.0,,7.0,8,11.0,11.0,9.0,11,12.0,11.0,13.0,10,4,5,42.0,7.0,8,,,19.0,11,9.0,4.0,,17.0,,7.0,,25.0,36.0,2.0,14.0,,6,9,10,,30.0,4.0,5.0,9.0,25.0,9,13.0,18,12.0,,8.0,10.0,18.0,6,,12.0,,6,6.0,21,14.0,15.0,7.0,6.0,11.0,13.0,,0.0,,,,3,5,,,,35.0,16.0,10.0,4.0,9,8.0,8.0,15.0,13.0,4.0,24.0,7.0,,18.0,4.0,9,,2.0,13.0,4,18.0,9.0,3,11.0,14.0,8.0,8.0,12.0,9.0,8,9.0,11,0.0,2.0,12.0,,,
2020-02-02,46.0,5.0,10.0,2.0,5.0,5.0,,9.0,,13,8.0,6.0,15.0,6.0,3.0,12.0,7.0,6.0,10.0,3.0,,9,,16.0,6,46.0,16.0,2,12.0,,9.0,20.0,5,11.0,,,7.0,8.0,,3.0,9.0,,29.0,10.0,9.0,11.0,10.0,,,7,11,4.0,14,12.0,,13.0,10.0,,10,17.0,5.0,6.0,,7.0,11,5.0,14.0,,10.0,3.0,,13.0,7,,8,20.0,,6.0,7,7.0,9.0,10.0,13,8.0,14.0,13.0,7,3,6,42.0,7.0,6,,,9.0,7,10.0,4.0,,17.0,,11.0,,25.0,15.0,3.0,7.0,,10,9,12,,35.0,7.0,3.0,5.0,19.0,9,11.0,15,8.0,,7.0,11.0,14.0,6,,9.0,,6,6.0,21,13.0,8.0,8.0,5.0,9.0,10.0,,0.0,,,,3,2,,,,32.0,14.0,12.0,0.0,9,0.0,5.0,9.0,7.0,13.0,18.0,6.0,,17.0,6.0,10,,2.0,9.0,3,17.0,7.0,3,11.0,12.0,7.0,6.0,7.0,8.0,7,10.0,10,0.0,6.0,13.0,,,
2020-02-03,44.0,9.0,10.0,3.0,5.0,7.0,,6.0,,12,6.0,6.0,8.0,11.0,4.0,12.0,13.0,6.0,8.0,3.0,,9,,16.0,5,39.0,8.0,3,13.0,,9.0,23.0,5,10.0,,,5.0,5.0,,5.0,6.0,,20.0,7.0,9.0,12.0,12.0,,,7,8,6.0,14,0.0,,15.0,15.0,,11,17.0,3.0,3.0,,7.0,9,5.0,4.0,,7.0,5.0,,10.0,6,,4,19.0,,7.0,7,8.0,6.0,7.0,14,5.0,9.0,13.0,4,1,8,38.0,5.0,5,,,15.0,7,7.0,4.0,,16.0,,5.0,,22.0,18.0,4.0,1.0,,12,6,11,,14.0,3.0,4.0,12.0,10.0,6,10.0,12,5.0,,7.0,8.0,8.0,4,,9.0,,4,4.0,18,10.0,7.0,9.0,4.0,8.0,8.0,,0.0,,,,3,3,,,,30.0,12.0,6.0,0.0,9,4.0,4.0,9.0,13.0,8.0,16.0,5.0,,19.0,3.0,8,,3.0,7.0,3,15.0,7.0,3,5.0,10.0,6.0,4.0,6.0,7.0,7,10.0,0,0.0,7.0,10.0,,,
2020-02-04,40.0,19.0,5.0,2.0,7.0,9.0,,5.0,,11,5.0,6.0,8.0,5.0,3.0,14.0,4.0,8.0,18.0,5.0,,14,,14.0,4,49.0,12.0,4,18.0,,9.0,24.0,6,10.0,,,5.0,4.0,,4.0,6.0,,17.0,12.0,8.0,10.0,7.0,,,9,6,4.0,10,37.0,,13.0,8.0,,18,14.0,3.0,11.0,,8.0,8,5.0,7.0,,8.0,8.0,,13.0,4,,4,14.0,,6.0,7,6.0,7.0,5.0,13,5.0,9.0,13.0,4,2,5,32.0,3.0,6,,,20.0,5,2.0,0.0,,4.0,,7.0,,25.0,10.0,4.0,5.0,,13,6,7,,20.0,10.0,3.0,9.0,10.0,6,10.0,12,4.0,,6.0,5.0,9.0,4,,11.0,,3,4.0,15,9.0,8.0,7.0,4.0,7.0,6.0,,0.0,,,,3,5,,,,44.0,7.0,9.0,0.0,7,5.0,3.0,7.0,4.0,12.0,14.0,5.0,,19.0,2.0,8,,2.0,11.0,2,11.0,6.0,3,5.0,7.0,5.0,3.0,11.0,7.0,7,1.0,0,0.0,10.0,10.0,,,
2020-02-05,39.0,11.0,6.0,1.0,9.0,6.0,,6.0,,12,6.0,9.0,5.0,5.0,3.0,16.0,6.0,6.0,5.0,3.0,,13,,9.0,4,37.0,5.0,4,15.0,,9.0,21.0,5,10.0,,,6.0,5.0,,5.0,6.0,,9.0,12.0,5.0,10.0,7.0,,,13,6,4.0,7,12.0,,11.0,12.0,,10,13.0,3.0,3.0,,3.0,7,4.0,8.0,,6.0,3.0,,10.0,4,,3,10.0,,5.0,6,5.0,5.0,6.0,12,4.0,4.0,17.0,4,1,3,32.0,3.0,3,,,18.0,5,2.0,4.0,,7.0,,4.0,,29.0,12.0,6.0,5.0,,8,5,7,,31.0,7.0,3.0,4.0,5.0,4,10.0,11,6.0,,4.0,8.0,8.0,3,,12.0,,5,4.0,13,8.0,7.0,3.0,4.0,6.0,3.0,,0.0,,,,2,4,,,,50.0,6.0,7.0,1.0,8,0.0,3.0,7.0,11.0,8.0,13.0,5.0,,15.0,2.0,7,,2.0,8.0,1,11.0,5.0,3,5.0,7.0,5.0,4.0,9.0,6.0,6,9.0,0,0.0,7.0,9.0,,,
2020-02-06,38.0,6.0,4.0,2.0,11.0,5.0,,6.0,,11,5.0,4.0,4.0,6.0,3.0,21.0,12.0,5.0,8.0,4.0,,15,,2.0,4,42.0,8.0,3,8.0,,9.0,18.0,4,10.0,,,6.0,5.0,,4.0,5.0,,8.0,8.0,8.0,8.0,8.0,,,17,4,4.0,3,0.0,,8.0,12.0,,4,11.0,3.0,7.0,,5.0,7,10.0,5.0,,5.0,3.0,,9.0,3,,4,10.0,,5.0,6,6.0,3.0,9.0,13,4.0,9.0,18.0,4,1,4,44.0,7.0,3,,,13.0,4,2.0,11.0,,10.0,,5.0,,27.0,7.0,3.0,5.0,,11,5,3,,33.0,0.0,3.0,4.0,6.0,7,9.0,12,5.0,,5.0,5.0,8.0,3,,5.0,,3,4.0,12,9.0,5.0,5.0,3.0,6.0,6.0,,0.0,,,,2,3,,,,60.0,7.0,5.0,1.0,9,0.0,3.0,6.0,0.0,8.0,12.0,4.0,,15.0,4.0,8,,3.0,7.0,1,10.0,6.0,4,4.0,7.0,7.0,3.0,7.0,5.0,7,9.0,11,0.0,9.0,13.0,,,
2020-02-07,38.0,8.0,4.0,2.0,5.0,6.0,,7.0,,12,6.0,5.0,9.0,7.0,4.0,14.0,2.0,5.0,5.0,8.0,,12,,9.0,4,49.0,7.0,9,15.0,,13.0,14.0,7,11.0,,,9.0,4.0,,6.0,6.0,,11.0,8.0,7.0,9.0,10.0,,,13,5,3.0,8,0.0,,10.0,10.0,,9,16.0,3.0,9.0,,7.0,7,8.0,6.0,,6.0,8.0,,8.0,8,,6,10.0,,5.0,7,8.0,5.0,7.0,13,4.0,9.0,16.0,3,2,6,38.0,3.0,3,,,11.0,4,7.0,4.0,,7.0,,9.0,,30.0,11.0,4.0,5.0,,11,5,2,,23.0,7.0,3.0,9.0,8.0,6,8.0,14,7.0,,5.0,7.0,11.0,4,,6.0,,4,4.0,12,7.0,6.0,5.0,5.0,8.0,3.0,,0.0,,,,2,7,,,,100.0,8.0,7.0,1.0,9,0.0,3.0,9.0,4.0,19.0,11.0,4.0,,19.0,4.0,7,,3.0,6.0,1,10.0,6.0,6,4.0,7.0,6.0,4.0,8.0,6.0,6,1.0,0,0.0,16.0,13.0,,,
2020-02-08,35.0,3.0,9.0,1.0,5.0,5.0,,6.0,,11,6.0,5.0,8.0,5.0,4.0,7.0,5.0,5.0,13.0,6.0,,9,,14.0,3,37.0,12.0,2,11.0,,4.0,19.0,5,10.0,,,9.0,5.0,,6.0,6.0,,14.0,7.0,5.0,9.0,8.0,,,6,6,4.0,4,12.0,,8.0,6.0,,5,12.0,7.0,12.0,,7.0,7,4.0,7.0,,7.0,0.0,,5.0,8,,5,10.0,,4.0,7,4.0,6.0,6.0,16,4.0,9.0,11.0,4,2,5,33.0,13.0,4,,,11.0,3,4.0,18.0,,7.0,,9.0,,29.0,8.0,7.0,3.0,,11,5,4,,16.0,0.0,4.0,6.0,3.0,4,9.0,11,6.0,,5.0,5.0,13.0,5,,6.0,,4,4.0,10,7.0,6.0,5.0,6.0,5.0,3.0,,0.0,,,,2,1,,,,88.0,5.0,8.0,7.0,7,0.0,4.0,8.0,0.0,9.0,10.0,6.0,,17.0,4.0,8,,3.0,5.0,2,9.0,6.0,3,7.0,9.0,6.0,2.0,2.0,5.0,6,0.0,0,13.0,6.0,17.0,,,
2020-02-09,32.0,4.0,6.0,2.0,9.0,3.0,,4.0,,9,5.0,3.0,11.0,4.0,3.0,5.0,2.0,4.0,5.0,7.0,,7,,3.0,3,46.0,6.0,5,12.0,,9.0,17.0,5,9.0,,,6.0,4.0,,5.0,3.0,,9.0,3.0,5.0,7.0,6.0,,,5,4,3.0,7,0.0,,6.0,6.0,,6,13.0,5.0,6.0,,5.0,5,4.0,5.0,,6.0,7.0,,8.0,4,,5,8.0,,4.0,6,4.0,3.0,6.0,12,4.0,6.0,11.0,1,1,4,24.0,8.0,3,,,6.0,4,2.0,4.0,,12.0,,4.0,,27.0,8.0,7.0,1.0,,6,4,5,,17.0,4.0,3.0,11.0,6.0,6,4.0,11,7.0,,4.0,7.0,6.0,4,,5.0,,2,3.0,9,7.0,5.0,3.0,4.0,4.0,8.0,,0.0,,,,2,3,,,,83.0,4.0,4.0,1.0,7,5.0,4.0,7.0,7.0,4.0,8.0,5.0,,15.0,4.0,7,,6.0,7.0,1,8.0,5.0,4,4.0,7.0,6.0,3.0,6.0,5.0,4,1.0,0,0.0,8.0,12.0,,,
2020-02-10,32.0,5.0,3.0,1.0,2.0,6.0,,3.0,,10,4.0,4.0,9.0,3.0,4.0,11.0,2.0,4.0,13.0,7.0,,10,,3.0,3,45.0,6.0,6,12.0,,13.0,17.0,3,9.0,,,5.0,4.0,,8.0,4.0,,9.0,2.0,10.0,8.0,6.0,,,5,5,4.0,3,0.0,,8.0,6.0,,7,10.0,3.0,14.0,,3.0,4,3.0,5.0,,4.0,8.0,,5.0,5,,2,8.0,,4.0,8,3.0,5.0,7.0,14,4.0,6.0,13.0,1,2,5,24.0,5.0,2,,,9.0,3,4.0,0.0,,7.0,,9.0,,31.0,8.0,4.0,2.0,,12,4,7,,32.0,6.0,3.0,9.0,5.0,4,7.0,11,5.0,,4.0,5.0,9.0,3,,5.0,,3,4.0,12,7.0,6.0,5.0,3.0,5.0,18.0,,0.0,,,,1,7,,,,92.0,7.0,6.0,4.0,6,0.0,4.0,8.0,4.0,4.0,9.0,4.0,,17.0,3.0,6,,3.0,6.0,1,7.0,5.0,4,4.0,6.0,9.0,3.0,4.0,5.0,5,10.0,0,0.0,6.0,7.0,,,
2020-02-11,28.0,10.0,5.0,1.0,0.0,5.0,,4.0,,9,4.0,3.0,8.0,4.0,4.0,7.0,2.0,4.0,5.0,4.0,,6,,3.0,3,54.0,6.0,4,6.0,,9.0,19.0,3,8.0,,,6.0,4.0,,6.0,4.0,,9.0,4.0,8.0,7.0,7.0,,,5,4,3.0,5,0.0,,11.0,0.0,,11,14.0,3.0,19.0,,5.0,5,4.0,8.0,,5.0,7.0,,7.0,5,,4,10.0,,3.0,6,4.0,5.0,6.0,11,5.0,9.0,12.0,2,1,6,26.0,5.0,3,,,11.0,4,0.0,0.0,,8.0,,7.0,,29.0,10.0,8.0,3.0,,11,4,5,,28.0,3.0,3.0,8.0,5.0,4,6.0,10,4.0,,4.0,5.0,7.0,2,,5.0,,1,4.0,10,7.0,5.0,3.0,5.0,5.0,8.0,,0.0,,,,1,3,,,,78.0,5.0,7.0,0.0,6,0.0,4.0,7.0,4.0,4.0,8.0,4.0,,17.0,7.0,7,,5.0,5.0,1,6.0,5.0,5,5.0,6.0,8.0,3.0,3.0,4.0,4,6.0,0,0.0,6.0,10.0,,,
2020-02-12,26.0,4.0,8.0,1.0,2.0,4.0,,4.0,,8,4.0,1.0,5.0,4.0,4.0,7.0,6.0,4.0,8.0,5.0,,7,,3.0,2,38.0,7.0,3,16.0,,4.0,15.0,2,7.0,,,5.0,5.0,,3.0,5.0,,9.0,3.0,7.0,10.0,6.0,,,3,3,2.0,7,12.0,,6.0,6.0,,8,10.0,3.0,5.0,,5.0,5,3.0,6.0,,4.0,3.0,,6.0,3,,2,6.0,,3.0,6,2.0,5.0,5.0,10,4.0,6.0,13.0,3,1,4,19.0,3.0,3,,,1.0,2,2.0,4.0,,5.0,,5.0,,24.0,6.0,6.0,2.0,,13,4,3,,46.0,3.0,2.0,4.0,8.0,5,6.0,10,6.0,,4.0,4.0,9.0,3,,5.0,,3,3.0,8,6.0,5.0,2.0,7.0,3.0,8.0,,0.0,,,,2,5,,,,78.0,6.0,4.0,0.0,5,0.0,3.0,6.0,4.0,0.0,8.0,3.0,,15.0,3.0,6,,2.0,9.0,1,5.0,4.0,5,5.0,7.0,8.0,3.0,4.0,5.0,4,6.0,0,0.0,8.0,12.0,,,
2020-02-13,32.0,20.0,4.0,1.0,5.0,6.0,,4.0,,9,5.0,4.0,8.0,3.0,4.0,5.0,4.0,4.0,10.0,6.0,,5,,9.0,3,42.0,7.0,3,9.0,,9.0,16.0,3,8.0,,,5.0,6.0,,3.0,4.0,,11.0,3.0,5.0,6.0,8.0,,,3,4,2.0,4,0.0,,8.0,12.0,,4,11.0,3.0,5.0,,7.0,6,4.0,8.0,,5.0,3.0,,4.0,6,,3,7.0,,4.0,7,4.0,5.0,5.0,12,4.0,9.0,16.0,5,0,4,24.0,2.0,2,,,6.0,4,0.0,11.0,,9.0,,5.0,,26.0,5.0,5.0,5.0,,13,4,4,,36.0,13.0,3.0,6.0,8.0,6,6.0,11,3.0,,6.0,5.0,11.0,3,,4.0,,2,2.0,7,8.0,4.0,3.0,7.0,5.0,6.0,,0.0,,,,2,6,,,,72.0,7.0,8.0,1.0,5,0.0,3.0,9.0,11.0,4.0,10.0,5.0,,15.0,3.0,7,,0.0,4.0,1,6.0,5.0,6,5.0,6.0,8.0,3.0,3.0,4.0,5,10.0,0,0.0,10.0,9.0,,,
2020-02-14,26.0,5.0,5.0,1.0,5.0,7.0,,3.0,,8,4.0,3.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,,5,,3.0,2,58.0,5.0,4,15.0,,0.0,15.0,3,7.0,,,4.0,6.0,,5.0,8.0,,7.0,2.0,7.0,7.0,5.0,,,2,3,4.0,5,0.0,,6.0,12.0,,9,8.0,3.0,7.0,,7.0,5,3.0,5.0,,5.0,3.0,,5.0,6,,3,7.0,,3.0,4,3.0,2.0,4.0,12,3.0,6.0,15.0,4,1,3,11.0,3.0,3,,,5.0,2,2.0,0.0,,6.0,,9.0,,21.0,10.0,5.0,5.0,,6,3,6,,28.0,3.0,2.0,3.0,6.0,4,4.0,10,2.0,,4.0,5.0,7.0,3,,3.0,,2,2.0,5,8.0,4.0,5.0,4.0,5.0,7.0,,0.0,,,,1,5,,,,61.0,6.0,5.0,0.0,4,0.0,2.0,7.0,11.0,4.0,7.0,4.0,,15.0,5.0,6,,2.0,4.0,1,6.0,4.0,3,5.0,5.0,6.0,2.0,5.0,3.0,5,6.0,0,13.0,5.0,7.0,,,
2020-02-15,22.0,10.0,4.0,1.0,7.0,4.0,,3.0,,8,3.0,3.0,8.0,4.0,3.0,0.0,5.0,4.0,8.0,3.0,,5,,3.0,2,32.0,6.0,0,11.0,,13.0,9.0,3,7.0,,,4.0,5.0,,4.0,6.0,,6.0,1.0,4.0,7.0,6.0,,,3,3,9.0,2,0.0,,10.0,13.0,,2,11.0,3.0,8.0,,3.0,6,4.0,3.0,,4.0,3.0,,11.0,2,,1,8.0,,3.0,4,3.0,1.0,3.0,12,4.0,1.0,13.0,5,2,4,12.0,3.0,3,,,5.0,5,6.0,0.0,,5.0,,5.0,,20.0,7.0,2.0,2.0,,7,3,2,,28.0,0.0,2.0,7.0,6.0,5,4.0,9,2.0,,3.0,4.0,5.0,3,,4.0,,2,2.0,5,7.0,3.0,5.0,3.0,3.0,0.0,,0.0,,,,2,4,,,,56.0,4.0,4.0,0.0,5,0.0,2.0,7.0,4.0,0.0,6.0,3.0,,10.0,4.0,6,,4.0,6.0,1,5.0,4.0,2,4.0,4.0,4.0,2.0,4.0,3.0,4,0.0,0,0.0,3.0,17.0,,,
2020-02-16,20.0,7.0,4.0,1.0,2.0,4.0,,3.0,,7,3.0,4.0,8.0,2.0,3.0,5.0,2.0,3.0,5.0,6.0,,7,,9.0,2,34.0,6.0,0,3.0,,0.0,14.0,3,6.0,,,3.0,4.0,,4.0,5.0,,7.0,3.0,3.0,6.0,4.0,,,2,3,4.0,3,27.0,,6.0,15.0,,4,8.0,3.0,8.0,,3.0,4,3.0,5.0,,4.0,5.0,,3.0,3,,4,5.0,,3.0,5,4.0,1.0,4.0,9,3.0,4.0,13.0,2,2,4,12.0,5.0,2,,,9.0,3,5.0,4.0,,3.0,,7.0,,17.0,4.0,4.0,0.0,,5,3,5,,23.0,0.0,2.0,7.0,6.0,3,4.0,9,5.0,,4.0,4.0,6.0,4,,2.0,,2,2.0,5,7.0,3.0,3.0,4.0,3.0,3.0,,0.0,,,,1,2,,,,52.0,4.0,4.0,1.0,4,0.0,2.0,4.0,7.0,4.0,5.0,3.0,,8.0,3.0,4,,4.0,5.0,1,5.0,3.0,2,5.0,4.0,4.0,2.0,3.0,3.0,3,1.0,0,13.0,3.0,10.0,,,
2020-02-17,20.0,3.0,2.0,1.0,0.0,7.0,,2.0,,6,3.0,3.0,4.0,3.0,3.0,14.0,0.0,3.0,5.0,3.0,,4,,9.0,2,42.0,7.0,1,10.0,,13.0,12.0,3,5.0,,,4.0,4.0,,4.0,4.0,,6.0,3.0,3.0,5.0,5.0,,,2,3,4.0,3,12.0,,4.0,19.0,,5,6.0,3.0,5.0,,3.0,4,2.0,6.0,,4.0,7.0,,0.0,2,,3,5.0,,3.0,3,3.0,5.0,3.0,11,3.0,4.0,19.0,3,1,3,14.0,2.0,2,,,4.0,3,6.0,4.0,,5.0,,5.0,,17.0,5.0,6.0,3.0,,10,3,6,,15.0,7.0,3.0,9.0,5.0,2,4.0,9,3.0,,3.0,8.0,8.0,3,,4.0,,2,2.0,6,4.0,4.0,3.0,3.0,4.0,7.0,,0.0,,,,1,3,,,,44.0,2.0,5.0,1.0,4,0.0,2.0,3.0,0.0,6.0,7.0,3.0,,12.0,4.0,5,,2.0,3.0,1,3.0,4.0,2,1.0,4.0,4.0,2.0,3.0,3.0,3,9.0,0,0.0,2.0,3.0,,,
